vma,make,vmo,model,category
LOAK,Load King Trailer Co.,,,Trailer
LOCK,"Locke Enterprises of New York, Inc.",,,Trailer
LOCO,Locomobile,,,Auto
LODA,"Lodal, Inc.",,,Trucks
LODC,Bushog/Loadcraft (Div. of Allied Products Corp.),,,Trailer
LODC,"Loadcraft Div., Bushog",,,Trailer
LODE,Load Star Corp.,,,Trailer
LODK,Lode King,,,Trailer
LODZ,"LOAD-EAZ Trailer, Inc.",,,Trailer
LOFT,Loftness Mfg. Co.,,,Farm
LOGI,Logic Motor Co.,,,Motorcycle
LOGN,"Logan Coach, Inc.",,,Trailer
LOLA,Lola,,,Auto
LOM,Lombard,,,Motorcycle
LOMC,Lomac Boat Trailer,,,Trailer
LONA,Lonaire Mfg. Corp.,,,Trailer
LONB,Lone Star Boat Mfg.,,,Trailer
LONC,Lone Star Classics (Kits & Replicas),,,Auto
LOND,London Motors,,,Auto
LONE,Crestlane,,,Trailer
LONE,Lonergan Corp.,,,Trailer
LONF,F. A. Long,,,Trailer
LONF,"Long, F. A.",,,Trailer
LONF,Triax-Tube,,,Trailer
LONG,Long Coach Corp. (for reference only),,,
LONG,"Long Mfg. N.C., Inc., Construction & Ind. Div.",,,Construction
LONG,"Long Mfg. NC, Inc.",,,Farm
LONH,Longmark Mobile Homes,,,Trailer
LONL,Longlife,,,Farm
LONN,Lonnie's Trailer Sales,,,Trailer
LONR,Longrun,,,Trailer
LONT,"Long Trailer Co., Inc.",,,Trailer
LOOD,Loodcraft,,,Auto
LOOK,"Look Trailers or LGS Ind., Inc.",,,Trailer
LOPR,Loprofile Boat Trailer,,,Trailer
LORA,Lorain Div.,,,Construction
LORK,"Lorak, Inc.",,,Trailer
LOTU,Lotus,,,Auto
LOTU,"Lotus 2 Eleven",2EL,,Auto
LOTU,Lotus,ECL,Eclat,Auto
LOTU,Lotus,ELA,Elan,Auto
LOTU,Lotus,ELI,Elite,Auto
LOTU,Lotus,ELS,Elise,Auto
LOTU,Lotus,ESP,Esprit,Auto
LOTU,Lotus,EUR,Europa,Auto
LOTU,Lotus,EVR,Evora,Auto
LOTU,Lotus,EXG,Exige,Auto
LOTU,Lotus,PLU,Plus Two,Auto
LOTU,Lotus,SUP,Super 7,Auto
LOUD,"Loudo Enterprises, LLC",,,Trailer
LOVB,Lovebug Travel Trailer,,,Trailer
LOVE,J. E. Love Co.,,,Farm
LOWB,LowBoy Trailer,,,Trailer
LOWE,Lowe Inds.,,,Trailer
LOWP,Low Pro Custom Trailer,,,Trailer
LRCT,"Larson Cable Trailers, Inc.",,,Trailer
LRNG,"Loranger Enterprises, Inc.",,,Trailer
LRSN,"Larson International, Inc.",,,Trailer
LSKP,Lori Engineering Corp.,,,Snowmobile
LSTS,"L and S Trailer & Supply, LLC",,,Trailer
LSUR,"Leisure Travel Vans, Ltd.",,,Trucks
LSUR,"Leisure Travel Vans, Ltd.",,,Trailer
LTCH,"Leitchfield Truck Equipment, Inc.",,,Trailer
LTCO,"Latco, Inc.",,,Trailer
LTEC,"Load Tec (Load Technology, Inc.)",,,Trailer
LTVA,LTV Aerospace,,,Motorcycle
LUBB,Lubbock,,,Trailer
LUCK,James L Lucky Enterprises,,,Trailer
LUCK,James L Lucky Enterprises,,,Trailer
LUCR,Lucra Cars,,,Auto
LUED,"Luedtke Mfg., Inc.",,,Trailer
LUFK,Lufkin Trailers,,,Trailer
LUGR,Luger Inds.,,,Trailer
LUKY,Lucky,,,Motorcycle
LULL,Lull Engineering Co.,,,Construction
LUND,Lundell,,,Trailer
LUND,"Lundell Mfg. Co., Inc.",,,Farm
LUNG,Lundgreen Flatbed,,,Trailer
LUVI,Luv-It Mfg.,,,Trailer
LUXO,Luxor-Leffingwell Coach,,,Trailer
LUXU,"Luxury Homes, Inc.",,,Trailer
LUYU,Luyuan Industrial & Trading Co. or Yongkang Luyuan Industrial & Trading Co.,,,Motorcycle
LVIN,"Livin' Lite Corp. or Livin' Lite RV, Inc.",,,Trailer
LWLF,"Lone Wolf Trailer Co., Inc.",,,Trailer
LWMR,Law Mar Trailers,,,Trailer
LYMA,Lyman Metal Products Corp.,,,Motorcycle
LYNC,Lyncoach & Truck Co.,,,Trailer
LYNH,FloTrail,,,Trailer
LYNH,Lynch Mfg.,,,Trailer
LYNN,Lynnton Mfg. Co.,,,Trailer
LYNR,Lynn-Towtruck,,,Trucks
LYNW,Lynwood Dump Trailers,,,Trailer
MACA,MacDonald Camper Kit,,,Trailer
MACC,McDonald Camper Kit Distributor,,,Trailer
MACD,MacDonald's Mobile Homes,,,Trailer
MACG,MacGregor Yacht Corp.,,,Trailer
MACK,"Mack Trucks, Inc.",,,Trucks
MACL,"Mac-Lander, Inc.",,,Trailer
MACM,"MAC Manufacturing, Inc.",,,Trailer
MACO,"Macoma Engineering, Inc.",,,Trailer
MACR,Master Craft Industrial Equipment Corp.,,,Construction
MACS,Mac’s Metal Materials,,,Trailer
MADD,Madden Trailer,,,Trailer
MADF,"Mad Fabrication, LLC",,,Motorcycle
MADM,Madami (Motor Scooters),,,Motorcycle
MADR,Del Rio,,,Trailer
MADR,Madrin Homes,,,Trailer
MAEN,"Mays Enterprises, Inc.",,,Trailer
MAGA,Magna American Corp.,,,Farm
MAGC,"Magic Tilt Trailer Mfg. Co., Inc.",,,Trailer
MAGI,"Magic Touch, Inc.",,,Trailer
MAGL,"Magline, Inc.",,,Trailer
MAGL,Tiltster,,,Trailer
MAGM,"Magnum Products, Inc.",,,Trailer
MAGN,Magnolia Mobile Homes Mfg.,,,Trailer
MAGO,Magnolia Travel Trailer,,,Trailer
MAGS,Magster,,,Motorcycle
MAGT,Magnum Custom Trailer Mfg. Co.,,,Trailer
MAGY,Magna Steyr,,,Truck
MAHA,Marmon Harrington,,,Trucks
MAHI,Mahindra,,,Farm
MAHO,"Mahoning Homes, Inc.",,,Trailer
MAI,Mai Mfg. Co.,,,Trailer
MAIC,Maico (Germany),,,
MAIC,Maico (West Germany),,,Motorcycle
MAIN,"Mark Line Inds., Inc.",,,Trailer
MAIR,"Mair & Son, Inc.",,,Trailer
MAJE,Majestic Corp.,,,Trailer
MAJO,Major Way,,,Trailer
MAJR,"Majestic Rides Mfg., Inc.",,,Trailer
MAKV,Mark V Trailer,,,Trailer
MAL,Mal Tractor,,,Farm
MALA,Malaguti,,,Motorcycle
MALE,Marathon Le Tourneau Co.,,,Construction
MALH,"Malheur Mobile Homes, Inc.",,,Trailer
MALI,Malibu Campers,,,Trailer
MALL,Mallard Coach Corp.,,,Trailer
MALN,Malanca,,,Motorcycle
MALO,Malro USA Distributors,,,Trailer
MALR,Mallard,,,Snowmobile
MALS,"Marliss Inds., Inc.",,,Farm
MALY,Malyette,,,Motorcycle
MAMM,Mammoth Trailers,,,Trailer
MANA,"MANAC, Inc.",,,Trailer
MANC,"Manco Products, Inc.",,,Motorcycle
MANE,Manet,,,Motorcycle
MANG,Mangar Co.,,,Trailer
MANI,"Manitowoc Engineering Co., Inc.",,,Construction
MANK,"Mankato Mobile Homes, Inc.",,,Trailer
MANM,"Mann Made Products, Inc.",,,Trailer
MANN,"Manning, Richard",,,Trailer
MANN,Richard Manning,,,Trailer
MANO,"Manor Homes, Inc.",,,Trailer
MANR,"Manning Marine, Inc.",,,Trailer
MANT,Manatee Homes,,,Trailer
MAPL,"Maple Leaf, Inc.",,,Trailer
MAPO,"Marion Power Shovel Co., Inc.",,,Construction
MAQI,"Marque, Inc.",,,Trucks
MARA,Mark Twain Mfg. Co.,,,Trailer
MARA,"Twain, Mark, Mfg. Co.",,,Trailer
MARB,Marbrough Boat Trailer,,,Trailer
MARC,Marcos,,,Auto
MARF,"Long Haul, The",,,Trailer
MARF,Mark Fore Vatco Inds.,,,Trailer
MARF,You'll Haul It,,,Trailer
MARG,"Marine Group, LLC",,,Trailer
MARH,Alexandria Mobile Home,,,Trailer
MARH,Marietta Homes,,,Trailer
MARI,Marine Camper Trailer,,,Trailer
MARK,Marking Mfg.,,,Trailer
MARL,Marshall,,,Trailer
MARM,Marmon,,,Auto
MARN,Marion Metal Products Co.,,,Trailer
MARO,"Marlette Homes, Inc.",,,Trailer
MARP,Marathon Homes Corp.,,,Trailer
MARQ,Marquette Custom Boat Trailer,,,Trailer
MARR,Marlin Mfg.,,,Trailer
MARS,Mars Camper Co.,,,Trailer
MART,"Martin Trailers, Ltd.",,,Trailer
MARU,Marusho,,,Motorcycle
MARV,"Mar-Val Inds., Inc.",,,Trailer
MARW,"Marshfield Homes, Inc.",,,Trailer
MASC,"Mascot Homes, Inc.",,,Trailer
MASE,Maserati,,,Auto
MASE,Maserati,200,2000 (series),Auto
MASE,Maserati,228,228,Auto
MASE,Maserati,350,3500 (series),Auto
MASE,Maserati,400,4000 (series),Auto
MASE,Maserati,420,4200 GT,Auto
MASE,Maserati,425,425,Auto
MASE,Maserati,430,430,Auto
MASE,Maserati,500,5000 (series),Auto
MASE,Maserati,BIT,Biturbo,Auto
MASE,Maserati,BOR,Bora,Auto
MASE,Maserati,CPE,Coupe/Coupe GT,Auto
MASE,Maserati,GHI,Ghibli,Auto
MASE,Maserati,GSP,Gran Sport,Auto
MASE,Maserati,GTI,GTI Series,Auto
MASE,Maserati,GTU,Gran Tourismo,Auto
MASE,Maserati,IND,Indy,Auto
MASE,Maserati,KHA,Khamsin,Auto
MASE,Maserati,M12,MC12,Auto
MASE,Maserati,MER,Merak,Auto
MASE,Maserati,MEX,Mexico,Auto
MASE,Maserati,MIS,Mistrell,Auto
MASE,Maserati,QUA,Quattroporte,Auto
MASE,Maserati,SEB,Sebring,Auto
MASE,Maserati,SHM,Shamal,Auto
MASE,Maserati,SPY,Spyder,Auto
MASG,Master Liner Mfg. Co.,,,Trailer
MASL,"Masterbilt Trailers, Inc.",,,Trailer
MASN,Masson's Welding,,,Trailer
MASP,MAS Racing Products,,,Auto
MASR,Mastercraft,,,Trailer
MASS,"Massey-Ferguson, Inc.",,,Trucks
MASS,"Massey-Ferguson, Inc.",,,Trailer
MASS,"Massey-Ferguson, Inc.",,,Farm
MASS,"Massey-Ferguson, Inc.",,,Construction
MASS,Ski Whiz,,,Trailer
MAST,"Masterline Co., Inc.",,,Trailer
MASV,Master View,,,Trailer
MASY,Massey,,,Motorcycle
MATA,Matra,,,Auto
MATE,"Mate, Inc.",,,Trailer
MATL,Matlock Trailer Corp.,,,Trailer
MATM,"Mid-Atlantic Trailer Mfg., Inc.",,,Trailer
MATR,Matrette,,,Motorcycle
MATT,Mattman Global Specialty Vehicles,,,Trailer
MAUL,"Mauldin Mfg. Co., Inc.",,,Construction
MAUM,"Maurer Mfg., Inc.",,,Trailer
MAUR,Maurell Trailer,,,Trailer
MAV,Maverick,,,Motorcycle
MAVE,Maverick Mobile Home,,,Trailer
MAVI,Maginniss Vibrator Equipment Co.,,,Construction
MAVL,Marvell Mobile Home,,,Trucks
MAVN,Marvin Landplane,,,Farm
MAXC,Maxcraft Trailer Mfg.,,,Trailer
MAXE,"Maxey Mfg., Inc.",,,Trailer
MAXI,"Maxim Ind., Inc.",,,Trucks
MAXL,Maxwell,,,Auto
MAXM,Maxum Trailers,,,Trailer
MAXO,Maxon Eagle,,,Trucks
MAXO,"Maxon Inds., Inc.",,,Trucks
MAXP,"Maxi Products Co., Inc.",,,Trailer
MAYA,Mayfair Mobile Home,,,Trailer
MAYB,Maybach (Brand within Mercedes-Benz),,,Auto
MAYB,Maybach,57,57 & 57S,Auto
MAYB,Maybach,62,62 & 62S,Auto
MAYC,Mayco Pump Corp.,,,Construction
MAYC,Mayco Two Wheel Trailer,,,Trailer
MAYF,Mayflower Trailers or Homes,,,Trailer
MAYH,Mayhem Mfg.,,,Trailer
MAYN,"Maynard Fabricating and Repair, LLC",,,Trailer
MAYR,"Mayrath Inds., Inc.",,,Farm
MAYS,"Mays Inds., Inc.",,,Trucks
MAZD,Mazda,,,Trucks
MAZD,Mazda,,,Auto
MAZD,Mazda,,,Auto
MAZD,Mazda,323,323,Auto
MAZD,Mazda,616,616,Auto
MAZD,Mazda,618,618,Auto
MAZD,Mazda,626,626,Auto
MAZD,Mazda,808,808 Series (piston engine),Auto
MAZD,Mazda,929,929,Auto
MAZD,Mazda,B20,B2000,Auto
MAZD,Mazda,B22,B2200,Auto
MAZD,Mazda,B23,B2300,Auto
MAZD,Mazda,B25,B2500,Auto
MAZD,Mazda,B26,B2600,Auto
MAZD,Mazda,B30,B3000,Auto
MAZD,Mazda,B40,B4000,Auto
MAZD,Mazda,CSM,Cosmo,Auto
MAZD,Mazda,CX5,CX-5,Auto
MAZD,Mazda,CX7,CX7,Auto
MAZD,Mazda,CX9,CX9,Auto
MAZD,Mazda,GLC,"GLC (""Great Little Car"")",Auto
MAZD,Mazda,MIA,Miata (MX5),Auto
MAZD,Mazda,MIA,Merlot Mica (Miata),Auto
MAZD,Mazda,MIL,Millenia,Auto
MAZD,Mazda,MIS,Miser (piston engine),Auto
MAZD,Mazda,MPV,MPV,Auto
MAZD,Mazda,MX3,MX3,Auto
MAZD,Mazda,MX6,MX6,Auto
MAZD,"Mazda Mazda",MZ2,,Auto
MAZD,Mazda,MZ2,Mazda 2,Auto
MAZD,Mazda,MZ3,Mazda 3,Auto
MAZD,Mazda,MZ5,Mazda 5 (Five),Auto
MAZD,Mazda,MZ6,6 (Six),Auto
MAZD,Mazda,MZ6,Mazdaspeed 6,Auto
MAZD,Mazda,NAV,Navajo,Auto
MAZD,Mazda,PRO,Protégé,Auto
MAZD,Mazda,PRO,Familia,Auto
MAZD,Mazda,RX2,RX2 (rotary engine),Auto
MAZD,Mazda,RX3,RX3 (rotary engine),Auto
MAZD,Mazda,RX4,RX4 (rotary engine),Auto
MAZD,Mazda,RX7,RX7 (rotary engine),Auto
MAZD,Mazda,RX8,RX8,Auto
MAZD,Mazda,TK,Sport Truck,Auto
MAZD,Mazda,TRB,Tribute,Auto
MBCC,"McBurnie Coach Craft, Inc.",,,Auto
MBCG,"M-B Co., Inc. of Wisconsin",,,Construction
MBCP,Mobile Concepts,,,Trailer
MBEE,Motobee,,,Motorcycle
MBHE,"Minuteman Boat Handling Equip., Inc.",,,Trailer
MBIE,Mobile Intl.,,,Trailer
MBIL,Mobile Traveler,,,Trailer
MBKI,MBK Industries,,,Motorcycle
MBM,M.B.M,,,Auto
MBSI,"Mobile Specialties, Inc.",,,Trailer
MBTR,Mobile Traveler,,,Trucks
MBVO,Motobravo,,,Motorcycle
MBWI,"M-B-W, Inc.",,,Construction
MCAF,M. P. McCaffrey,,,Construction
MCAF,"McCaffrey, M. P.",,,Construction
MCBM,"McCloskey Brothers Mfg. Canada, Ltd.",,,Trailer
MCCA,McCain Inds.,,,Trailer
MCCB,McCabe-Powers Body Co.,,,Trailer
MCCB,Powers,,,Trailer
MCCK,McCook Mfg. Co.,,,Trailer
MCCL,McClain Trailer Mfg. Co.,,,Trailer
MCCM,"McCrabb Mfg., Inc.",,,Trailer
MCCO,McCoy Mfg. & Sales Co.,,,Trailer
MCCR,McCarthy Trailers,,,Trailer
MCCU,McCulloch Corp.,,,Farm
MCCU,"McCulloch Mite-E-Lite, Inc., McCulloch Corp.",,,Construction
MCCW,Macomb County Cycles Works,,,Motorcycle
MCCY,"McClenny Machine Co. of Virginia, Inc.",,,Trailer
MCCY,Pacer,,,Trailer
MCEL,McElrath Trailers,,,Trailer
MCFA,"McFarlane Mfg. Co., Inc.",,,Trailer
MCIN,"Motor Coach Inds., Inc. (MCI)",,,Trucks
MCIT,"McIntyre Motor Wagon, W.H. McIntyre, or McIntyre",,,Auto
MCKA,John A. McKay,,,Trailer
MCKA,"McKay, John A.",,,Trailer
MCKE,Mackey Trailer,,,Trailer
MCKT,"Mack Trailer Mfg. Co., Inc.",,,Trailer
MCKY,"McKay Mfg. Co., Inc.",,,Construction
MCLA,McLaren Automotive,,,Auto
MCLA,McLaren Automotive Ltd.,MP4,MP4-12C,Auto
MCLN,McLendon Trailers,,,Trailer
MCNA,McNamee Coach Corp.,,,Trailer
MCNL,McNeilus Truck and Mfg,,,Trucks
MCNM,MCN Mobile Homes Corp.,,,Trailer
MCOA,Mac Corp. of America,,,Trailer
MCOL,McCollough Corp.,,,Trailer
MCOX,Mecox Resources SA DE CV,,,Trailer
MCOY,"McCoy/Taylor, Inc.",,,Trailer
MCQU,McQuerry Tan Trailer,,,Trailer
MCQV,McQuerry Horse Trailer,,,Trailer
MCRD,McCord Mfg. Co.,,,Trailer
MCRL,"Micro-Lite Trailer Mfg., LLC",,,Trailer
MCRR,Mc Kee Roughrider,,,Trucks
MCSI,"The Marine Cradle Shop, Inc.",,,Trailer
MCSK,McCloskey International,,,Construction
MCTM,MC Trailer Mfg.,,,Trailer
MCTY,Mercoty Trailer,,,Trailer
MCYM,McCoy Miller,,,Trucks
MDAM,"Mid America Mfg., Inc.",,,Trailer
MDAT,"Mid-America Trailer Mfg., LLC (dba – Bobcat Trailer or Nationwide Trailer)",,,Trailer
MDEP,MD Enterprises,,,Trailer
MDLR,"Modular Systems, Inc.",,,Trailer
MDMF,"Midland Mfg., Ltd.",,,Trailer
MDNA,Modena,,,Auto
MDNA,Modena,250,GT250,Auto
MDOW,"Meadow Creek Welding, LLC",,,Trailer
MDQT,"MDQ Trailer Mfg., Inc.",,,Trailer
MDS,MDS,,,Motorcycle
MDST,Mid States Camping Trailer,,,Trailer
MDTR,M-D Trailer Co.,,,Trailer
MDYN,3M Dynamic Message Systems,,,Trailer
MEAD,Meade,,,Trailer
MEAN,Mean,,,Auto
MEBT,Meb Trailer Sales,,,Trailer
MECH,Mech Handling Co.,,,Trailer
MEDA,Medallion Mobile Homes,,,Trailer
MEDF,Medford Inds.,,,Trailer
MEDI,"Medical Coaches, Inc.",,,Trailer
MEDT,Medtec Ambulance Corp.,,,Trucks
MEGA,Mega Trailers,,,Trailer
MEID,"Meidou Motorcycle Co., Ltd. or Zhejiang Meidou Motorcycle Co., Ltd.",,,Motorcycle
MEIT,"Meitian Motorcycle Co., Ltd. or Shanghai Meitian Motorcycle Co., Ltd.",,,Motorcycle
MEIT,"Shanghai Meitian Motorcycle Co., Ltd. or Meitian Motorcycle Co., Ltd.",,,Motorcycle
MELA,Melmar Motor Home,,,Trucks
MELG,"Melges Boat Works, Inc.",,,Trailer
MELM,Melmak Motor Home,,,Trucks
MELO,Melody Home Mfg. Co.,,,Trailer
MELO,Timco,,,Trailer
MELR,Bobcat Skid Steer Loader,,,Construction
MELR,Melroe Div.,,,Farm
MELR,Melroe Div.,,,Construction
MELR,Melroe Div.,,,Motorcycle
MENG,"Mengdeli Electrical Co., Ltd. or Zhejiang Mengdeli Electrical Co., Ltd.",,,Motorcycle
MENG,"Zhejiang Mengdeli Electrical Co., Ltd. or Mengdeli Electrical Co., Ltd.",,,Motorcycle
MENS,Mecanismos Ensamblados S.A. de C.V.,,,Trailer
MERB,Mercury Boat Co.,,,Trailer
MERC,Mercury,,,Trucks
MERC,Mercury,,,Auto
MERC,Mercury,---,Meteor (see make Meteor),Auto
MERC,Mercury,BOB,Bobcat,Auto
MERC,Mercury,BRE,Breezeway,Auto
MERC,Mercury,BRO,Brougham,Auto
MERC,Mercury,CAP,Capri (1979 and later),Auto
MERC,Mercury,CCR,Country Cruiser,Auto
MERC,Mercury,CLI,Caliente,Auto
MERC,Mercury,CMM,Commuter,Auto
MERC,Mercury,COL,Colony Park,Auto
MERC,Mercury,COM,Comet,Auto
MERC,Mercury,COU,Cougar,Auto
MERC,Mercury,CUS,Custom,Auto
MERC,Mercury,CYC,Cyclone,Auto
MERC,Mercury,GMQ,Grand Marquis,Auto
MERC,Mercury,LN7,LN7,Auto
MERC,Mercury,LYN,Lynx,Auto
MERC,Mercury,MAR,Marquis,Auto
MERC,Mercury,MAU,Marauder,Auto
MERC,Mercury,MED,Medalist,Auto
MERC,Mercury,MGO,Montego,Auto
MERC,Mercury,MLN,Milan,Auto
MERC,Mercury,MNH,Monarch,Auto
MERC,Mercury,MNR,Mariner,Auto
MERC,Mercury,MON,Monterey,Auto
MERC,Mercury,MOT,Montclair,Auto
MERC,Mercury,MTN,Mountaineer (sport utility),Auto
MERC,Mercury,MYS,Mystique,Auto
MERC,Mercury,PAR,Parklane,Auto
MERC,Mercury,S22,S-22,Auto
MERC,Mercury,S33,S-33,Auto
MERC,Mercury,S55,S-55,Auto
MERC,Mercury,SAB,Sable,Auto
MERC,Mercury,TOP,Topaz,Auto
MERC,Mercury,TRA,Tracer,Auto
MERC,Mercury,TUR,Turnpike Cruiser,Auto
MERC,Mercury,VGR,Villager Minivan,Auto
MERC,Mercury,VGR,Nautica Villager,Auto
MERC,Mercury,VIL,Villager,Auto
MERC,Mercury,VOY,Voyager,Auto
MERC,Mercury,ZEP,Zephyr,Auto
MERD,Merdian (England) (for reference only; see TRUM),,,
MERD,Merdian (for reference only; see TRUM),,,
MERH,Mercury Coach Corp.,,,Trailer
MERI,Merritt Equipment Co.,,,Trailer
MERK,Merkur,,,Auto
MERK,Merkur,SCO,Scorpio,Auto
MERK,Merkur,XR4,XR4Ti,Auto
MERM,Charisma,,,Trailer
MERM,Merrimac Corp.,,,Trailer
MERR,Mercury Trailer Inds.,,,Trailer
MERT,Merit Tank & Body,,,Trailer
MERW,Merhow Inds.,,,Trailer
MERY,Merry Mfg. Corp.,,,Farm
MERY,Merrytiller,,,Farm
MERZ,Mercedes-Benz,,,Trucks
MERZ,Mercedes-Benz,,,Auto
MERZ,Mercedes-Benz,,,Auto
MERZ,Mercedes-Benz,180,180 Series,Auto
MERZ,Mercedes-Benz,190,190 Series,Auto
MERZ,Mercedes-Benz,200,200 Series,Auto
MERZ,Mercedes-Benz,219,219 Series,Auto
MERZ,Mercedes-Benz,220,220 Series,Auto
MERZ,Mercedes-Benz,230,230 Series,Auto
MERZ,Mercedes-Benz,240,240 Series,Auto
MERZ,Mercedes-Benz,245,245,
MERZ,Mercedes-Benz,250,250 Series,Auto
MERZ,Mercedes-Benz,260,260 Series,Auto
MERZ,Mercedes-Benz,280,280 Series,Auto
MERZ,Mercedes-Benz,280,SLK280,Auto
MERZ,Mercedes-Benz,300,300 Series,Auto
MERZ,Mercedes-Benz,320,320 Series,Auto
MERZ,Mercedes-Benz,32A,C32 AMG,Auto
MERZ,Mercedes-Benz,350,350 Series,Auto
MERZ,Mercedes-Benz,350,SLK350,Auto
MERZ,Mercedes-Benz,350,E350,Auto
MERZ,Mercedes-Benz,350,S350,Auto
MERZ,Mercedes-Benz,380,380 Series,Auto
MERZ,Mercedes-Benz,3AM,SL63AMG,Auto
MERZ,Mercedes-Benz,400,400 Series,Auto
MERZ,Mercedes-Benz,420,420 Series,Auto
MERZ,Mercedes-Benz,450,450 Series,Auto
MERZ,Mercedes-Benz,500,500 Series,Auto
MERZ,Mercedes-Benz,500,CLS500,Auto
MERZ,Mercedes-Benz,500,S500,Auto
MERZ,Mercedes-Benz,550,CL550,Auto
MERZ,Mercedes-Benz,55A,SL55 AMG,Auto
MERZ,Mercedes-Benz,560,560 Series,Auto
MERZ,Mercedes-Benz,600,600 Series,Auto
MERZ,Mercedes-Benz,600,S600,Auto
MERZ,Mercedes-Benz,63A,S63AMG,Auto
MERZ,Mercedes-Benz,65A,S65 AMG,Auto
MERZ,Mercedes-Benz,B 20,B 200,Auto
MERZ,Mercedes-Benz,C22,C220,Auto
MERZ,Mercedes-Benz,C23,C230,Auto
MERZ,Mercedes-Benz,C24,C240,Auto
MERZ,Mercedes-Benz,C25,C250,Auto
MERZ,Mercedes-Benz,C28,C280,Auto
MERZ,Mercedes-Benz,C30,C300,Auto
MERZ,Mercedes-Benz,C32,C320,Auto
MERZ,Mercedes-Benz,C35,C350,Auto
MERZ,Mercedes-Benz,C36,C36,Auto
MERZ,Mercedes-Benz,C43,C43,Auto
MERZ,Mercedes-Benz,C55,CL55 AMG,Auto
MERZ,Mercedes-Benz,C55,CLS55,Auto
MERZ,Mercedes-Benz,C55,C55,Auto
MERZ,Mercedes-Benz,C63,CL63AMG,Auto
MERZ,Mercedes-Benz,C65,CL65,Auto
MERZ,Mercedes-Benz,C6A,C63AMG,Auto
MERZ,Mercedes-Benz,CK5,CLK500,Auto
MERZ,Mercedes-Benz,CL3,CLK350,Auto
MERZ,Mercedes-Benz,CL4,CLK430,Auto
MERZ,Mercedes-Benz,CL5,CL500,Auto
MERZ,Mercedes-Benz,CL6,CL600,Auto
MERZ,Mercedes-Benz,E30,E300,Auto
MERZ,Mercedes-Benz,E32,E320,Auto
MERZ,Mercedes-Benz,E42,E420,Auto
MERZ,Mercedes-Benz,E43,E430,Auto
MERZ,Mercedes-Benz,E5,E550,Auto
MERZ,Mercedes-Benz,E50,E500,Auto
MERZ,Mercedes-Benz,E55,E55,Auto
MERZ,Mercedes-Benz,E63,E63 AMG,Auto
MERZ,Mercedes-Benz,G35,GL350,Auto
MERZ,Mercedes-Benz,G50,G500,Auto
MERZ,Mercedes-Benz,G55,G55,Auto
MERZ,Mercedes-Benz,G63,GL63 AMG,Auto
MERZ,Mercedes-Benz,GK 3,GLK 350,Auto
MERZ,Mercedes-Benz,GK2,GLK250,Auto
MERZ,Mercedes-Benz,GL3,GL320,Auto
MERZ,Mercedes-Benz,GL4,GL450,Auto
MERZ,Mercedes-Benz,GL5,GL550,Auto
MERZ,Mercedes-Benz,GLW,Gelaendewagen (G-Wagen),Auto
MERZ,Mercedes-Benz,K55,CLK550,Auto
MERZ,Mercedes-Benz,K63,CLK63 AMG,Auto
MERZ,Mercedes-Benz,L30,SLK300,Auto
MERZ,Mercedes-Benz,L55,SL550,Auto
MERZ,Mercedes-Benz,L55,CLS550,Auto
MERZ,Mercedes-Benz,L63,ML63 AMG,Auto
MERZ,Mercedes-Benz,LK3,CLK320,Auto
MERZ,Mercedes-Benz,LK5,CLK55,Auto
MERZ,Mercedes-Benz,M35,ML350,Auto
MERZ,Mercedes-Benz,M50,ML500,Auto
MERZ,Mercedes-Benz,M55,ML550,Auto
MERZ,Mercedes-Benz,ML3,ML320 (sport utility),Auto
MERZ,Mercedes-Benz,ML4,ML430,Auto
MERZ,Mercedes-Benz,ML5,ML55,Auto
MERZ,Mercedes-Benz,R32,R320 (Sportwagon),Auto
MERZ,Mercedes-Benz,R35,R350 (Sport Wagon),Auto
MERZ,Mercedes-Benz,R50,R500 (Sportwagon),Auto
MERZ,Mercedes-Benz,R63,R63 AMG,Auto
MERZ,Mercedes-Benz,S40,S400,Auto
MERZ,Mercedes-Benz,S43,S430V,Auto
MERZ,Mercedes-Benz,S45,S450,Auto
MERZ,Mercedes-Benz,S50,S550,Auto
MERZ,Mercedes-Benz,S55,S55 AMG,Auto
MERZ,Mercedes-Benz,S55,SLK55,Auto
MERZ,Mercedes-Benz,S63,CLS63 AMG,Auto
MERZ,Mercedes-Benz,S65,SL65,Auto
MERZ,Mercedes-Benz,SK2,SLK250,Auto
MERZ,Mercedes-Benz,SL2,SLK230,Auto
MERZ,Mercedes-Benz,SL3,SLK320 Coupe/Roadster,Auto
MERZ,Mercedes-Benz,SL5,SL500,Auto
MERZ,Mercedes-Benz,SL6,SL600,Auto
MERZ,Mercedes-Benz,SLR,SLR McLaren,Auto
MERZ,Mercedes-Benz,SMT,Smart City Vehicle,Auto
MERZ,Mercedes-Benz,SPR,Sprinter,Auto
MESA,Mesa III Travel Trailer,,,Trailer
MESS,Messerschmitt,,,Auto
MESS,Messerschmitt,KR,KR200,Auto
MESS,Messerschmitt,KR1,KR201,Auto
MESS,Messerschmitt,TIG,Tiger,Auto
META,Metal Craft Mfg.,,,Trailer
METE,Meteor (Canadian Mercury),,,Auto
METE,Meteor (Canadian Mercury),COY,Country Sedan,Auto
METE,Meteor (Canadian Mercury),LEM,Lemoyne,Auto
METE,Meteor (Canadian Mercury),MGO,Montego,Auto
